date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:14	210/210	---M-Z	200	added ('OK')	text/plain	etag:%224288f2afe46d31:0%22	https://www.friends2support.org/robots.txt		(from )
19:28:15	19363/19363	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2013:58:14%20GMT	https://www.friends2support.org/	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/index.html	(from )
19:28:15	1398/1398	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2026%20Jan%202025%2013:58:15%20GMT	https://www.friends2support.org/%e2%80%9cimages/favicon.ico%e2%80%9d	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/%e2%80%9cimages/favicon.ico%e2%80%9d	(from https://www.friends2support.org/)
19:28:15	1750/1750	---M-Z	200	added ('OK')	text/css	etag:%22bf492dfefc46d31:0%22	https://www.friends2support.org/css/styles.css	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/css/styles.css	(from https://www.friends2support.org/)
19:28:15	335/335	---M--	200	added ('OK')	image/gif	etag:%227fa2c07cfd46d31:0%22	https://www.friends2support.org/imgs/landingpage/bg.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/bg.gif	(from https://www.friends2support.org/)
19:28:15	1687/1687	---M-Z	200	added ('OK')	application/javascript	etag:%22dd863721fe46d31:0%22	https://www.friends2support.org/joint_ie/rotate.js	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/joint_ie/rotate.js	(from https://www.friends2support.org/)
19:28:16	7809/7809	---M-Z	200	added ('OK')	application/javascript	etag:%22c4ce82eefc46d31:0%22	https://www.friends2support.org/Common.js	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/Common.js	(from https://www.friends2support.org/)
19:28:17	43/43	---M--	200	added ('OK')	image/gif	etag:%222a7ce9aafd46d31:0%22	https://www.friends2support.org/imgs/spacer.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/spacer.gif	(from https://www.friends2support.org/)
19:28:17	53874/53874	---M--	200	added ('OK')	image/gif	etag:%22a9a78081fd46d31:0%22	https://www.friends2support.org/imgs/landingpage/top_band.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/top_band.gif	(from https://www.friends2support.org/)
19:28:17	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2026%20Aug%202023%2000:29:56%20GMT	https://www.friends2support.org/WebResource.axd?d=aXKpdiUFfQwBKBkJBQk8Zn-cV5lfwe1D2PadUvhjSvBaVU5huvjzyr5NjMpOgu3sCY-o1KTXOl_zr67KL-y_cIjtEtC4zJgcWWHiTyClcoo1&t=638285849964787378	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/WebResource8939.js	(from https://www.friends2support.org/)
19:28:17	410/410	---M--	200	added ('OK')	image/gif	etag:%22fbe7237efd46d31:0%22	https://www.friends2support.org/imgs/landingpage/left_search_panel.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/left_search_panel.gif	(from https://www.friends2support.org/)
19:28:17	4580/4580	---M--	200	added ('OK')	image/gif	etag:%22b172ef7dfd46d31:0%22	https://www.friends2support.org/imgs/landingpage/find_donors.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/find_donors.gif	(from https://www.friends2support.org/)
19:28:17	152/152	---M--	200	added ('OK')	image/gif	etag:%22c0eac0446a41d71:0%22	https://www.friends2support.org/imgs/landingpage/submit_white.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/submit_white.gif	(from https://www.friends2support.org/)
19:28:18	30101/30101	---M--	200	added ('OK')	image/gif	etag:%229ad7947dfd46d31:0%22	https://www.friends2support.org/imgs/landingpage/blood_drop_search.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/blood_drop_search.gif	(from https://www.friends2support.org/)
19:28:18	4722/4722	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2013:58:18%20GMT	https://www.friends2support.org/cdn-cgi/l/email-protection	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/cdn-cgi/l/email-protection.html	(from https://www.friends2support.org/)
19:28:18	7635/7635	---M--	200	added ('OK')	image/png	etag:%228e18e887585cd31:0%22	https://www.friends2support.org/imgs/short-film-announcement-for-website3.png	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/short-film-announcement-for-website3.png	(from https://www.friends2support.org/)
19:28:18	191/191	---M--	200	added ('OK')	image/gif	etag:%2234db187dfd46d31:0%22	https://www.friends2support.org/imgs/landingpage/bg_step1.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/bg_step1.gif	(from https://www.friends2support.org/)
19:28:19	22016/22016	---M--	200	added ('OK')	image/gif	etag:%22e5bca43e5e71d61:0%22	https://www.friends2support.org/imgs/landingpage/register.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/register.gif	(from https://www.friends2support.org/)
19:28:19	7921/7921	---M--	200	added ('OK')	image/gif	etag:%22261bd7dfd46d31:0%22	https://www.friends2support.org/imgs/landingpage/bottom_band.gif	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/imgs/landingpage/bottom_band.gif	(from https://www.friends2support.org/)
19:28:20	72926/72926	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2013:58:19%20GMT	https://www.friends2support.org/inner/news/donorRegistration.aspx	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/inner/news/donorRegistration.html	(from https://www.friends2support.org/)
19:28:20	19489/19489	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2013:58:19%20GMT	https://www.friends2support.org/inner/news/forgotPassword.aspx	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/inner/news/forgotPassword.html	(from https://www.friends2support.org/)
19:28:20	14235/14235	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2013:58:20%20GMT	https://www.friends2support.org/F2SInvitation.aspx	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/F2SInvitation.html	(from https://www.friends2support.org/)
19:28:20	5214/5214	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202025%2013:58:20%20GMT	https://www.friends2support.org/inner/news/postYourBloodRequest.aspx	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/inner/news/postYourBloodRequest.aspx	(from https://www.friends2support.org/)
19:28:21	25508/25508	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2013:58:20%20GMT	https://www.friends2support.org/inner/news/Contactus.aspx	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/inner/news/Contactus.html	(from https://www.friends2support.org/)
19:28:21	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22678fdc60-4d7%22	https://www.friends2support.org/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/LEGION/Documents/DOCUMENT/New%20folder/BLOOD%20DONATION/www.friends2support.org/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.friends2support.org/)
